id,name,description,country,iata,icao,latitude,longitude,elevation
7944,Reno Amtrak Station,Reno,United States,,,39.5287,-119.8116,0
7945,Sacramento Amtrak Station,Sacramento,United States,,,38.58479,-121.50052,0
7946,Tureia Airport,Tureia,French Polynesia,ZTA,NTGY,-20.7897,-138.57,12
7947,Ice Runway-McMurdo Sstation,Ross Island,Antarctica,,NZIR,-77.84778,166.66833,1
7948,Keekorok,Keekorok,Kenya,,HKKE,-1.58642,35.25904,5536
7949,Ol Kiombo,Mara Intrepids,Kenya,,,-1.40957,35.11079,5006
7950,Ol Kiombo,Mara Intrepids,Kenya,,,-1.40957,35.11079,5006
7951,Kichwa Tembo,Kichwa Tembo,Kenya,,,-1.26413,35.02272,5174
7952,Busan,Busan,South Korea,,,35.17944,129.07556,0
7953,Busan,Busan,South Korea,,,35.17944,129.07556,0
7954,Gare de Marne-la-Vallee,Chessy,France,,,48.86972,2.78278,250
7955,Jefferson County Intl,Port Townsend,United States,TWD,,48.0314,-122.4838,108
7956,Lynden Airport,Lynden,United States,38W,,48.9559,-122.45812,106
7957,Jefferson County Intl,Port Townsend,United States,0S9,,48.05381,-122.81064,108
7958,Savut,Savut,Botswana,,,1,1,1
7959,Xakan,Xakan,Botswana,,,1,1,1
7960,Xakan,Xakan,Botswana,,,1,1,1
7961,Xugan,Xugan,Botswana,,,1,1,1
7962,Puerto Obaldia,Puerto Obaldia,Panama,PUE,MPOA,8.68333,-77.5333,223
7963,Kerch Intl,Kerch,Ukraine,KHC,UKFK,45.37287,36.40276,152
7964,Khao Sok National Park,Surat Thani,Thailand,,,8.93667,98.53028,1200
7965,Khao Sok National Park,Surat Thani,Thailand,,,8.93667,98.53028,1200
7966,Boston South Station,Boston,United States,,BOST,42.35,-71.0558,0
7967,Tarifa,Tarifa,Spain,,,36.07078,-5.60276,20
7968,Train Station,Ottawa,Canada,XDS,,45.4164,-75.6517,374
7969,Train Station,Belleville,Canada,XVV,,44.1793,-77.3747,315
