id,name,description,country,iata,icao,latitude,longitude,elevation
1,Goroka,Goroka,Papua New Guinea,GKA,AYGA,-6.08169,145.39188,5282
2,Madang,Madang,Papua New Guinea,MAG,AYMD,-5.20708,145.7887,20
3,Mount Hagen,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.82679,144.29586,5388
4,Nadzab,Nadzab,Papua New Guinea,LAE,AYNZ,-6.56983,146.72624,239
5,Port Moresby Jacksons Intl,Port Moresby,Papua New Guinea,POM,AYPY,-9.44338,147.22005,146
6,Wewak Intl,Wewak,Papua New Guinea,WWK,AYWK,-3.58383,143.66919,19
7,Narsarsuaq,Narssarssuaq,Greenland,UAK,BGBW,61.16052,-45.42598,112
8,Nuuk,Godthaab,Greenland,GOH,BGGH,64.19092,-51.67806,283
9,Sondre Stromfjord,Sondrestrom,Greenland,SFJ,BGSF,67.01697,-50.68932,165
10,Thule Air Base,Thule,Greenland,THU,BGTL,76.5312,-68.70316,251
11,Akureyri,Akureyri,Iceland,AEY,BIAR,65.65999,-18.0727,6
12,Egilsstadir,Egilsstadir,Iceland,EGS,BIEG,65.28333,-14.40139,76
13,Hornafjordur,Hofn,Iceland,HFN,BIHN,64.29556,-15.22722,24
14,Husavik,Husavik,Iceland,HZK,BIHU,65.95233,-17.42598,48
15,Isafjordur,Isafjordur,Iceland,IFJ,BIIS,66.05806,-23.13528,8
16,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.985,-22.60556,171
17,Patreksfjordur,Patreksfjordur,Iceland,PFJ,BIPA,65.55583,-23.965,11
18,Reykjavik,Reykjavik,Iceland,RKV,BIRK,64.13,-21.94056,48
19,Siglufjordur,Siglufjordur,Iceland,SIJ,BISI,66.13333,-18.91667,10
20,Vestmannaeyjar,Vestmannaeyjar,Iceland,VEY,BIVM,63.4243,-20.27888,326
21,Sault Ste Marie,Sault Sainte Marie,Canada,YAM,CYAM,46.485,-84.50944,630
22,Winnipeg St Andrews,Winnipeg,Canada,YAV,CYAV,50.05639,-97.0325,760
23,Shearwater,Halifax,Canada,YAW,CYAW,44.63972,-63.49944,167
24,St Anthony,St. Anthony,Canada,YAY,CYAY,51.39194,-56.08306,108
25,Tofino,Tofino,Canada,YAZ,CYAZ,49.08222,-125.7725,80
26,Kugaaruk,Pelly Bay,Canada,YBB,CYBB,68.53444,-89.80806,56
27,Baie Comeau,Baie Comeau,Canada,YBC,CYBC,49.1325,-68.20444,71
28,Bagotville,Bagotville,Canada,YBG,CYBG,48.33056,-70.99639,522
29,Baker Lake,Baker Lake,Canada,YBK,CYBK,64.29889,-96.07778,59
30,Campbell River,Campbell River,Canada,YBL,CYBL,49.95083,-125.27083,346
31,Brandon Muni,Brandon,Canada,YBR,CYBR,49.91,-99.95194,1343
32,Cambridge Bay,Cambridge Bay,Canada,YCB,CYCB,69.10806,-105.13833,90
33,Nanaimo,Nanaimo,Canada,YCD,CYCD,49.05233,-123.87017,93
34,Castlegar,Castlegar,Canada,YCG,CYCG,49.29639,-117.6325,1624
35,Miramichi,Chatham,Canada,YCH,CYCH,47.00778,-65.44917,108
36,Charlo,Charlo,Canada,YCL,CYCL,47.99083,-66.33028,132
37,Kugluktuk,Coppermine,Canada,YCO,CYCO,67.81667,-115.14389,74
38,Coronation,Coronation,Canada,YCT,CYCT,52.075,-111.44528,2595
39,Chilliwack,Chilliwack,Canada,YCW,CYCW,49.15278,-121.93889,32
40,Clyde River,Clyde River,Canada,YCY,CYCY,70.48611,-68.51667,87
41,Fairmont Hot Springs,Coral Harbour,Canada,YZS,CYCZ,64.19333,-83.35944,2661
42,Dawson City,Dawson,Canada,YDA,CYDA,64.04306,-139.12778,1215
43,Burwash,Burwash,Canada,YDB,CYDB,61.37111,-139.04056,2647
44,Princeton,Princeton,Canada,YDC,CYDC,49.46806,-120.51139,2298
45,Deer Lake,Deer Lake,Canada,YDF,CYDF,49.21083,-57.39139,72
46,Dease Lake,Dease Lake,Canada,YDL,CYDL,58.42222,-130.03222,2600
47,Dauphin Barker,Dauphin,Canada,YDN,CYDN,51.10083,-100.0525,999
48,Dawson Creek,Dawson Creek,Canada,YDQ,CYDQ,55.74233,-120.183,2148
49,Edmonton Intl,Edmonton,Canada,YEG,CYEG,53.30972,-113.57972,2373
50,Arviat,Eskimo Point,Canada,YEK,CYEK,61.09417,-94.07083,32
51,Estevan,Estevan,Canada,YEN,CYEN,49.21028,-102.96583,1905
52,Edson,Edson,Canada,YET,CYET,53.57889,-116.465,3041
53,Eureka,Eureka,Canada,YEU,CYEU,79.99472,-85.81417,256
54,Inuvik Mike Zubko,Inuvik,Canada,YEV,CYEV,68.30417,-133.48278,224
55,Iqaluit,Iqaluit,Canada,YFB,CYFB,63.75639,-68.55583,110
56,Fredericton,Fredericton,Canada,YFC,CYFC,45.86889,-66.53722,68
57,Forestville,Forestville,Canada,,CYFE,48.74611,-69.09722,293
58,Flin Flon,Flin Flon,Canada,YFO,CYFO,54.67806,-101.68167,997
59,Fort Resolution,Fort Resolution,Canada,YFR,CYFR,61.18083,-113.68972,526
60,Fort Simpson,Fort Simpson,Canada,YFS,CYFS,61.76015,-121.23652,555
61,Kingston,Kingston,Canada,YGK,CYGK,44.22528,-76.59694,305
62,La Grande Riviere,La Grande Riviere,Canada,YGL,CYGL,53.62528,-77.70417,639
63,Gaspe,Gaspe,Canada,YGP,CYGP,48.77528,-64.47861,108
64,Geraldton Greenstone Regional,Geraldton,Canada,YGQ,CYGQ,49.77833,-86.93944,1144
65,Iles De La Madeleine,Iles De La Madeleine,Canada,YGR,CYGR,47.42472,-61.77806,35
66,Hudson Bay,Hudson Bay,Canada,YHB,CYHB,52.81667,-102.31139,1175
67,Dryden Rgnl,Dryden,Canada,YHD,CYHD,49.83167,-92.74417,1354
68,Ulukhaktok Holman,Holman Island,Canada,YHI,CYHI,70.76278,-117.80611,117
69,Gjoa Haven,Gjoa Haven,Canada,YHK,CYHK,68.63556,-95.84972,152
70,Hamilton,Hamilton,Canada,YHM,CYHM,43.17361,-79.935,780
71,St Hubert,Montreal,Canada,YHU,CYHU,45.5175,-73.41694,90
72,Hay River,Hay River,Canada,YHY,CYHY,60.83972,-115.78278,543
73,Halifax Intl,Halifax,Canada,YHZ,CYHZ,44.88083,-63.50861,477
74,Atikokan Muni,Atikokan,Canada,YIB,CYIB,48.77389,-91.63861,1408
75,Pond Inlet,Pond Inlet,Canada,YIO,CYIO,72.68333,-77.96667,181
76,St Jean,St. Jean,Canada,YJN,CYJN,45.29444,-73.28111,136
77,Stephenville,Stephenville,Canada,YJT,CYJT,48.54417,-58.55,80
78,Kamloops,Kamloops,Canada,YKA,CYKA,50.70222,-120.44444,1133
79,Waterloo,Waterloo,Canada,YKF,CYKF,43.46083,-80.37861,1054
80,Schefferville,Schefferville,Canada,YKL,CYKL,54.80528,-66.80528,1709
81,Kindersley,Kindersley,Canada,YKY,CYKY,51.5175,-109.18083,2277
82,Buttonville Muni,Toronto,Canada,YKZ,CYKZ,43.86222,-79.37,650
83,Chapleau,Chapleau,Canada,YLD,CYLD,47.82,-83.34667,1470
84,Meadow Lake,Meadow Lake,Canada,YLJ,CYLJ,54.12528,-108.52278,1576
85,Lloydminster,Lloydminster,Canada,YLL,CYLL,53.30917,-110.0725,2193
86,Alert,Alert,Canada,YLT,CYLT,82.51778,-62.28056,100
87,Kelowna,Kelowna,Canada,YLW,CYLW,49.95611,-119.37778,1409
88,Mayo,Mayo,Canada,YMA,CYMA,63.61639,-135.86833,1653
89,Moose Jaw Air Vice Marshal C M Mcewen,Moose Jaw,Canada,YMJ,CYMJ,50.33028,-105.55917,1892
90,Fort Mcmurray,Fort Mcmurray,Canada,YMM,CYMM,56.65333,-111.22194,1211
91,Moosonee,Moosonee,Canada,YMO,CYMO,51.29111,-80.60778,30
92,Maniwaki,Maniwaki,Canada,YMW,CYMW,46.27278,-75.99056,656
93,Montreal Intl Mirabel,Montreal,Canada,YMX,CYMX,45.68194,-74.00528,270
94,Natashquan,Natashquan,Canada,YNA,CYNA,50.19,-61.78917,39
95,Gatineau,Gatineau,Canada,YND,CYND,45.52169,-75.56359,211
96,Matagami,Matagami,Canada,YNM,CYNM,49.76167,-77.80278,918
97,Old Crow,Old Crow,Canada,YOC,CYOC,67.57056,-139.83917,824
98,Cold Lake,Cold Lake,Canada,YOD,CYOD,54.405,-110.27944,1775
99,High Level,High Level,Canada,YOJ,CYOJ,58.62139,-117.16472,1110
100,Ottawa Macdonald Cartier Intl,Ottawa,Canada,YOW,CYOW,45.3225,-75.66917,374
101,Prince Albert Glass Field,Prince Albert,Canada,YPA,CYPA,53.21417,-105.67278,1405
102,Peace River,Peace River,Canada,YPE,CYPE,56.22694,-117.44722,1873
103,Southport,Portage-la-prairie,Canada,YPG,CYPG,49.90306,-98.27389,885
104,Pitt Meadows,Pitt Meadows,Canada,,CYPK,49.21611,-122.71,11
105,Pickle Lake,Pickle Lake,Canada,YPL,CYPL,51.44639,-90.21417,1267
106,Port Menier,Port Menier,Canada,YPN,CYPN,49.83639,-64.28861,167
107,Peterborough,Peterborough,Canada,YPQ,CYPQ,44.23,-78.36333,628
108,Prince Rupert,Prince Pupert,Canada,YPR,CYPR,54.28611,-130.44472,116
109,Fort Chipewyan,Fort Chipewyan,Canada,YPY,CYPY,58.76722,-111.11722,761
110,Muskoka,Muskoka,Canada,YQA,CYQA,44.97472,-79.30333,925
111,Quebec Jean Lesage Intl,Quebec,Canada,YQB,CYQB,46.79111,-71.39333,244
112,Red Deer Regional,Red Deer Industrial,Canada,YQF,CYQF,52.18222,-113.89444,2968
113,Windsor,Windsor,Canada,YQG,CYQG,42.27556,-82.95556,622
114,Watson Lake,Watson Lake,Canada,YQH,CYQH,60.11639,-128.8225,2255
115,Kenora,Kenora,Canada,YQK,CYQK,49.78833,-94.36306,1332
116,Lethbridge,Lethbridge,Canada,YQL,CYQL,49.63028,-112.79972,3047
117,Greater Moncton Intl,Moncton,Canada,YQM,CYQM,46.11222,-64.67861,232
119,Comox,Comox,Canada,YQQ,CYQQ,49.71083,-124.88667,84
120,Regina Intl,Regina,Canada,YQR,CYQR,50.43194,-104.66583,1894
121,Thunder Bay,Thunder Bay,Canada,YQT,CYQT,48.37194,-89.32389,653
122,Grande Prairie,Grande Prairie,Canada,YQU,CYQU,55.17972,-118.885,2195
123,Yorkton Muni,Yorkton,Canada,YQV,CYQV,51.26472,-102.46167,1635
124,North Battleford,North Battleford,Canada,YQW,CYQW,52.76917,-108.24361,1799
125,Gander Intl,Gander,Canada,YQX,CYQX,48.93694,-54.56806,496
126,Sydney,Sydney,Canada,YQY,CYQY,46.16139,-60.04778,203
127,Quesnel,Quesnel,Canada,YQZ,CYQZ,53.02611,-122.51028,1789
128,Resolute Bay,Resolute,Canada,YRB,CYRB,74.71694,-94.96944,215
129,Riviere Du Loup,Riviere Du Loup,Canada,YRI,CYRI,47.76444,-69.58472,427
130,Roberval,Roberval,Canada,YRJ,CYRJ,48.52,-72.26556,586
131,Rocky Mountain House,Rocky Mountain House,Canada,YRM,CYRM,52.42972,-114.90417,3244
132,Rankin Inlet,Rankin Inlet,Canada,YRT,CYRT,62.81139,-92.11583,94
133,Sudbury,Sudbury,Canada,YSB,CYSB,46.625,-80.79889,1141
134,Sherbrooke,Sherbrooke,Canada,YSC,CYSC,45.43861,-71.69139,792
135,Saint John,St. John,Canada,YSJ,CYSJ,45.31611,-65.89028,357
136,Fort Smith,Fort Smith,Canada,YSM,CYSM,60.02028,-111.96194,671
137,Nanisivik,Nanisivik,Canada,YSR,CYSR,72.98222,-84.61361,2106
138,Summerside,Summerside,Canada,YSU,CYSU,46.44056,-63.83361,56
139,Sachs Harbour,Sachs Harbour,Canada,YSY,CYSY,71.99389,-125.2425,282
140,Cape Dorset,Cape Dorset,Canada,YTE,CYTE,64.23,-76.52667,164
141,Thompson,Thompson,Canada,YTH,CYTH,55.80111,-97.86417,729
142,Trenton,Trenton,Canada,YTR,CYTR,44.11889,-77.52806,283
143,Timmins,Timmins,Canada,YTS,CYTS,48.56972,-81.37667,967
144,City Centre,Toronto,Canada,YTZ,CYTZ,43.6275,-79.39617,251
145,Tuktoyaktuk,Tuktoyaktuk,Canada,YUB,CYUB,69.43333,-133.02639,15
146,Pierre Elliott Trudeau Intl,Montreal,Canada,YUL,CYUL,45.47056,-73.74083,118
147,Repulse Bay,Repulse Bay,Canada,YUT,CYUT,66.52139,-86.22472,80
148,Hall Beach,Hall Beach,Canada,YUX,CYUX,68.77611,-81.24361,27
149,Rouyn Noranda,Rouyn,Canada,YUY,CYUY,48.20611,-78.83556,988
150,La Ronge,La Ronge,Canada,YVC,CYVC,55.15139,-105.26194,1242
151,Vermilion,Vermillion,Canada,YVG,CYVG,53.35583,-110.82389,2025
152,Qikiqtarjuaq,Broughton Island,Canada,YVM,CYVM,67.54583,-64.03139,21
153,Val D Or,Val D'or,Canada,YVO,CYVO,48.05333,-77.78278,1107
154,Kuujjuaq,Quujjuaq,Canada,YVP,CYVP,58.09611,-68.42694,129
155,Norman Wells,Norman Wells,Canada,YVQ,CYVQ,65.28162,-126.79822,238
156,Vancouver Intl,Vancouver,Canada,YVR,CYVR,49.19389,-123.18444,14
157,Buffalo Narrows,Buffalo Narrows,Canada,YVT,CYVT,55.84194,-108.4175,1444
158,Wiarton,Wiarton,Canada,YVV,CYVV,44.74583,-81.10722,729
159,Petawawa,Petawawa,Canada,YWA,CYWA,45.95222,-77.31917,427
160,Winnipeg Intl,Winnipeg,Canada,YWG,CYWG,49.91004,-97.23989,783
161,Wabush,Wabush,Canada,YWK,CYWK,52.92194,-66.86444,1808
162,Williams Lake,Williams Lake,Canada,YWL,CYWL,52.18306,-122.05417,3085
163,Wrigley,Wrigley,Canada,YWY,CYWY,63.20944,-123.43667,489
164,Canadian Rockies Intl,Cranbrook,Canada,YXC,CYXC,49.61222,-115.78194,3084
165,Edmonton City Centre,Edmonton,Canada,YXD,CYXD,53.5725,-113.52056,2200
166,Saskatoon J G Diefenbaker Intl,Saskatoon,Canada,YXE,CYXE,52.17083,-106.69972,1653
167,Medicine Hat,Medicine Hat,Canada,YXH,CYXH,50.01889,-110.72083,2352
168,Fort St John,Fort Saint John,Canada,YXJ,CYXJ,56.23806,-120.74028,2280
169,Sioux Lookout,Sioux Lookout,Canada,YXL,CYXL,50.11389,-91.90528,1258
170,Pangnirtung,Pangnirtung,Canada,YXP,CYXP,66.145,-65.71361,75
171,Timiskaming Rgnl,Earlton,Canada,YXR,CYXR,47.695,-79.84889,798
172,Prince George,Prince George,Canada,YXS,CYXS,53.88944,-122.67889,2267
173,Terrace,Terrace,Canada,YXT,CYXT,54.46851,-128.57622,713
174,London,London,Canada,YXU,CYXU,43.03306,-81.15111,912
175,Abbotsford,Abbotsford,Canada,YXX,CYXX,49.02528,-122.36056,195
176,Whitehorse Intl,Whitehorse,Canada,YXY,CYXY,60.70955,-135.06727,2317
177,North Bay,North Bay,Canada,YYB,CYYB,46.36361,-79.42278,1215
178,Calgary Intl,Calgary,Canada,YYC,CYYC,51.11389,-114.02028,3557
179,Smithers,Smithers,Canada,YYD,CYYD,54.82472,-127.18278,1712
180,Fort Nelson,Fort Nelson,Canada,YYE,CYYE,58.83639,-122.59694,1253
181,Penticton,Penticton,Canada,YYF,CYYF,49.46306,-119.60222,1129
182,Charlottetown,Charlottetown,Canada,YYG,CYYG,46.29,-63.12111,160
183,Taloyoak,Spence Bay,Canada,YYH,CYYH,69.54667,-93.57667,92
184,Victoria Intl,Victoria,Canada,YYJ,CYYJ,48.64694,-123.42583,63
185,Lynn Lake,Lynn Lake,Canada,YYL,CYYL,56.86389,-101.07611,1170
186,Swift Current,Swift Current,Canada,YYN,CYYN,50.29194,-107.69056,2680
187,Churchill,Churchill,Canada,YYQ,CYYQ,58.73917,-94.065,94
188,Goose Bay,Goose Bay,Canada,YYR,CYYR,53.31917,-60.42583,160
189,St Johns Intl,St. John's,Canada,YYT,CYYT,47.61861,-52.75194,461
190,Kapuskasing,Kapuskasing,Canada,YYU,CYYU,49.41389,-82.4675,743
191,Armstrong,Armstrong,Canada,YYW,CYYW,50.29028,-88.90972,1058
192,Mont Joli,Mont Joli,Canada,YYY,CYYY,48.60861,-68.20806,172
193,Lester B Pearson Intl,Toronto,Canada,YYZ,CYYZ,43.67722,-79.63056,569
194,Downsview,Toronto,Canada,YZD,CYZD,43.7425,-79.46556,652
195,Gore Bay Manitoulin,Gore Bay,Canada,YZE,CYZE,45.88528,-82.56778,635
196,Yellowknife,Yellowknife,Canada,YZF,CYZF,62.46278,-114.44028,675
197,Slave Lake,Slave Lake,Canada,YZH,CYZH,55.29306,-114.77722,1912
198,Sandspit,Sandspit,Canada,YZP,CYZP,53.25433,-131.81383,21
199,Chris Hadfield,Sarnia,Canada,YZR,CYZR,42.99944,-82.30889,594
200,Port Hardy,Port Hardy,Canada,YZT,CYZT,50.68056,-127.36667,71
201,Whitecourt,Whitecourt,Canada,YZU,CYZU,54.14389,-115.78667,2567
202,Sept Iles,Sept-iles,Canada,YZV,CYZV,50.22333,-66.26556,180
203,Teslin,Teslin,Canada,YZW,CYZW,60.17278,-132.74278,2313
204,Greenwood,Greenwood,Canada,YZX,CYZX,44.98444,-64.91694,92
205,Faro,Faro,Canada,ZFA,CZFA,62.2075,-133.37583,2351
206,Fort Mcpherson,Fort Mcpherson,Canada,ZFM,CZFM,67.4075,-134.86056,116
207,Blida,Blida,Algeria,,DAAB,36.50361,2.81417,535
208,Bou Saada,Bou Saada,Algeria,,DAAD,35.3325,4.20639,1506
209,Soummam,Bejaja,Algeria,BJA,DAAE,36.712,5.06992,20
210,Houari Boumediene,Algier,Algeria,ALG,DAAG,36.69101,3.21541,82
211,Tiska,Djanet,Algeria,DJG,DAAJ,24.29277,9.45244,3176
212,Boufarik,Boufarik,Algeria,QFD,DAAK,36.54583,2.87611,335
213,Reggane,Reggan,Algeria,,DAAN,26.7101,0.28565,955
214,Illizi Takhamalt,Illizi,Algeria,VVZ,DAAP,26.72354,8.62265,1778
215,Ain Oussera,Ain Oussera,Algeria,,DAAQ,35.52541,2.87871,2132
216,Tamanrasset,Tamanrasset,Algeria,TMR,DAAT,22.81146,5.45108,4518
217,Jijel,Jijel,Algeria,GJL,DAAV,36.79514,5.87361,36
218,Mecheria,Mecheria,Algeria,,DAAY,33.53585,-0.24235,3855
219,Relizane,Relizane,Algeria,,DAAZ,35.75224,0.62627,282
220,Annaba,Annaba,Algeria,AAE,DABB,36.82222,7.80917,16
221,Mohamed Boudiaf Intl,Constantine,Algeria,CZL,DABC,36.27603,6.62039,2265
222,Cheikh Larbi Tebessi,Tebessa,Algeria,TEE,DABS,35.43161,8.12072,2661
224,Hassi R Mel,Tilrempt,Algeria,HRM,DAFH,32.93043,3.31154,2540
225,Bou Chekif,Tiaret,Algeria,TID,DAOB,35.34114,1.46315,3245
226,Bou Sfer,Bou Sfer,Algeria,,DAOE,35.73539,-0.80539,187
227,Tindouf,Tindouf,Algeria,TIN,DAOF,27.70037,-8.1671,1453
228,Ech Cheliff,Ech-cheliff,Algeria,QAS,DAOI,36.21266,1.33178,463
229,Tafaraoui,Oran,Algeria,TAF,DAOL,35.54244,-0.53228,367
230,Zenata,Tlemcen,Algeria,TLM,DAON,35.01667,-1.45,814
231,Es Senia,Oran,Algeria,ORN,DAOO,35.62386,-0.62118,295
232,Sidi Bel Abbes,Sidi Bel Abbes,Algeria,,DAOS,35.17178,-0.59328,1614
233,Ghriss,Ghriss,Algeria,MUW,DAOV,35.20772,0.14714,1686
234,Touat Cheikh Sidi Mohamed Belkebir,Adrar,Algeria,AZR,DAUA,27.83759,-0.18641,919
235,Biskra,Biskra,Algeria,BSK,DAUB,34.79329,5.73823,289
236,El Golea,El Golea,Algeria,ELG,DAUE,30.57129,2.85959,1306
237,Noumerat,Ghardaia,Algeria,GHA,DAUG,32.38411,3.79411,1512
238,Oued Irara,Hassi Messaoud,Algeria,HME,DAUH,31.67297,6.14044,463
239,In Salah,In Salah,Algeria,INZ,DAUI,27.25102,2.51202,896
240,Sidi Mahdi,Touggourt,Algeria,TGR,DAUK,33.0678,6.08867,279
241,Laghouat,Laghouat,Algeria,LOO,DAUL,33.76438,2.92834,2510
242,Timimoun,Timimoun,Algeria,TMX,DAUT,29.23712,0.27603,1027
243,Ouargla,Ouargla,Algeria,OGX,DAUU,31.91722,5.41278,492
244,In Amenas,Zarzaitine,Algeria,IAM,DAUZ,28.05155,9.64291,1847
245,Cadjehoun,Cotonou,Benin,COO,DBBB,6.35723,2.38435,19
246,Ouagadougou,Ouagadougou,Burkina Faso,OUA,DFFD,12.35319,-1.51242,1037
247,Bobo Dioulasso,Bobo-dioulasso,Burkina Faso,BOY,DFOO,11.16006,-4.33097,1511
248,Kotoka Intl,Accra,Ghana,ACC,DGAA,5.60519,-0.16679,205
249,Tamale,Tamale,Ghana,TML,DGLE,9.55719,-0.86321,553
250,Wa,Wa,Ghana,,DGLW,10.08266,-2.50769,1060
251,Sunyani,Sunyani,Ghana,NYI,DGSN,7.36183,-2.32876,1014
252,Takoradi,Takoradi,Ghana,TKD,DGTK,4.89606,-1.77476,21
253,Abidjan Felix Houphouet Boigny Intl,Abidjan,Cote d'Ivoire,ABJ,DIAP,5.26139,-3.92629,21
254,Bouake,Bouake,Cote d'Ivoire,BYK,DIBK,7.7388,-5.07367,1230
255,Daloa,Daloa,Cote d'Ivoire,DJO,DIDL,6.79281,-6.47319,823
256,Korhogo,Korhogo,Cote d'Ivoire,HGO,DIKO,9.38718,-5.55666,1214
257,Man,Man,Cote d'Ivoire,MJC,DIMN,7.27207,-7.58736,1089
258,San Pedro,San Pedro,Cote d'Ivoire,SPY,DISP,4.74672,-6.66082,26
259,Yamoussoukro,Yamoussoukro,Cote d'Ivoire,ASK,DIYO,6.90317,-5.36558,699
260,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.00679,7.26317,1123
261,Akure,Akure,Nigeria,AKR,DNAK,7.24674,5.30101,1100
262,Benin,Benin,Nigeria,BNI,DNBE,6.31698,5.5995,258
263,Calabar,Calabar,Nigeria,CBQ,DNCA,4.97602,8.3472,210
264,Enugu,Enugu,Nigeria,ENU,DNEN,6.47427,7.56196,466
265,Gusau,Gusau,Nigeria,QUS,DNGU,12.17167,6.69611,1520
266,Ibadan,Ibadan,Nigeria,IBA,DNIB,7.36246,3.97833,725
267,Ilorin,Ilorin,Nigeria,ILR,DNIL,8.44021,4.49392,1126
268,Yakubu Gowon,Jos,Nigeria,JOS,DNJO,9.63983,8.86905,4232
269,Kaduna,Kaduna,Nigeria,KAD,DNKA,10.69602,7.32011,2073
270,Mallam Aminu Intl,Kano,Nigeria,KAN,DNKN,12.04759,8.52462,1562
271,Maiduguri,Maiduguri,Nigeria,MIU,DNMA,11.85535,13.08095,1099
272,Makurdi,Makurdi,Nigeria,MDI,DNMK,7.70388,8.61394,371
273,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.57737,3.32116,135
274,Minna New,Minna,Nigeria,MXJ,DNMN,9.65217,6.46226,834
275,Port Harcourt Intl,Port Hartcourt,Nigeria,PHC,DNPO,5.01549,6.94959,87
276,Sadiq Abubakar Iii Intl,Sokoto,Nigeria,SKO,DNSO,12.91632,5.20719,1010
277,Yola,Yola,Nigeria,YOL,DNYO,9.25755,12.43042,599
278,Zaria,Zaria,Nigeria,ZAR,DNZA,11.13019,7.68581,2170
279,Maradi,Maradi,Niger,MFQ,DRRM,13.50253,7.12675,1240
280,Diori Hamani,Niamey,Niger,NIM,DRRN,13.48155,2.18361,732
281,Tahoua,Tahoua,Niger,THZ,DRRT,14.87566,5.26536,1266
282,Manu Dayak,Agadez,Niger,AJY,DRZA,16.966,8.00011,1657
283,Dirkou,Dirkou,Niger,,DRZD,18.9687,12.86865,1273
284,Diffa,Diffa,Niger,,DRZF,13.37289,12.62669,994
285,Zinder,Zinder,Niger,ZND,DRZR,13.779,8.98376,1516
286,Habib Bourguiba Intl,Monastir,Tunisia,MIR,DTMB,35.75806,10.75472,9
287,Carthage,Tunis,Tunisia,TUN,DTTA,36.85103,10.22722,22
288,Sidi Ahmed Air Base,Bizerte,Tunisia,,DTTB,37.24545,9.79145,20
289,Remada,Remada,Tunisia,,DTTD,32.30616,10.38211,1004
290,Gafsa,Gafsa,Tunisia,GAF,DTTF,34.42202,8.8225,1060
291,Gabes,Gabes,Tunisia,GAE,DTTG,33.87692,10.10333,26
292,Borj El Amri,Bordj El Amri,Tunisia,,DTTI,36.72134,9.94315,108
293,Zarzis,Djerba,Tunisia,DJE,DTTJ,33.87503,10.77546,19
294,El Borma,El Borma,Tunisia,EBM,DTTR,31.70428,9.25462,827
295,Thyna,Sfax,Tunisia,SFA,DTTX,34.71795,10.69097,85
296,Nefta,Tozeur,Tunisia,TOE,DTTZ,33.93972,8.11056,287
297,Niamtougou International,Niatougou,Togo,LRL,DXNG,9.76733,1.09125,1515
298,Gnassingbe Eyadema Intl,Lome,Togo,LFW,DXXX,6.16561,1.25451,72
299,Deurne,Antwerp,belgium,ANR,EBAW,51.18944,4.46028,39
300,Beauvechain,Beauvechain,Belgium,,EBBE,50.75861,4.76833,370
301,Kleine Brogel,Kleine Brogel,belgium,,EBBL,51.16833,5.47,200
302,Brussels Natl,Brussels,Belgium,BRU,EBBR,50.90139,4.48444,184
303,Bertrix,Bertrix,Belgium,,EBBX,49.89167,5.22389,1514
304,Brussels South,Charleroi,Belgium,CRL,EBCI,50.4592,4.45382,614
305,Chievres Ab,Chievres,Belgium,,EBCV,50.57583,3.831,193
306,Koksijde,Koksijde,Belgium,,EBFN,51.09028,2.65278,20
307,Florennes,Florennes,Belgium,,EBFS,50.24333,4.64583,935
308,Wevelgem,Kortrijk-vevelgem,Belgium,QKT,EBKT,50.81722,3.20472,64
309,Liege,Liege,Belgium,LGG,EBLG,50.63742,5.44322,659
310,Oostende,Ostend,Belgium,OST,EBOS,51.19889,2.86222,13
311,Zutendaal,Zutendaal,Belgium,,EBSL,50.9475,5.59056,312
312,Sint Truiden,Sint-truiden,Belgium,,EBST,50.79194,5.20167,246
313,Saint Hubert Mil,St.-hubert,Belgium,,EBSU,50.03583,5.40417,1930
314,Ursel,Ursel,Belgium,,EBUL,51.14413,3.47436,95
315,Weelde,Weelde,Belgium,,EBWE,51.39478,4.96019,105
316,Zoersel,Zoersel,Belgium,,EBZR,51.26472,4.75333,53
317,Bautzen,Bautzen,Germany,BBJ,EDAB,51.19353,14.51975,568
318,Altenburg Nobitz,Altenburg,Germany,AOC,EDAC,50.98182,12.50636,640
319,Dessau,Dessau,Germany,,EDAD,51.83183,12.18403,187
320,Eisenhuttenstadt,Eisenhuettenstadt,Germany,,EDAE,52.19733,14.58567,149
6891,Putnam County Airport,Greencastle,United States,4I7,,39.63356,-86.81381,842
322,Grossenhain,Suhl,Germany,,EDAK,51.30811,13.55497,417
323,Merseburg,Muehlhausen,Germany,,EDAM,51.363,11.94083,340
324,Halle Oppin,Halle,Germany,,EDAQ,51.552,12.05267,347
325,Riesa Gohlis,Riesa,Germany,,EDAU,51.2935,13.356,322
326,Rechlin Larz,Rechlin-laerz,Germany,,EDAX,53.30642,12.75314,220
327,Strausberg,Strausberg,Germany,,EDAY,52.57998,13.91568,263
328,Schonhagen,Schoenhagen,Germany,,EDAZ,52.20326,13.15841,131
329,Barth,Barth,Germany,BBH,EDBH,54.33754,12.6997,23
330,Jena Schongleina,Jena,Germany,,EDBJ,50.91516,11.71452,1228
331,Kyritz,Kyritz,Germany,,EDBK,52.91883,12.42533,130
332,Magdeburg,Magdeburg,Germany,,EDBM,52.07366,11.62647,268
333,Rothenburg Gorlitz,Rothenburg/ol,Germany,,EDBR,51.36317,14.95,517
